reviewId,userName,content,score,thumbsUpCount,at,replyContent,repliedAt,version
dc039950-5904-4440-a5ea-7317484da13f,Meldie Ngongoloy,Mudah dan sangat membantu,5,0,2025-06-12T04:05:11,,,5.20.1
5fdc7688-950b-434a-94a3-8eaa6c301814,Syafruddin Udin,"sangat membantu saya untuk melakukan transaksi keuangan pribadi saya,apalagi kalo mau pesan makanan tinggal cari menu kesukaan kita tinggal di klik,langsung di antar,pokoknya Gojek Goput,sangat membantu,saya",4,3,2025-06-12T02:05:06,,,5.20.1
63aedcbf-c56b-4b6e-8e7a-5cf074096264,Haidar Mulachela,"aplikasinya sudah bagus tapi tolong kalo pasang iklan di aplikasi lain tombol x nya dibesarin. Saya mau close iklan sering kepencet masuk aplikasi gojek terus, susah mau klik closenya bahkan aku bingung ini bisa dipencet sekali close atau memang harus masuk aplikasi gojek dulu baru bisa diclose. padahal saya juga sering banget pake aplikasi gojek ini",5,340,2025-06-12T02:00:31,,,5.20.1
b400c4db-71f5-4590-8489-ef9e4a756d93,Andika Fauzul,"kasihan drivernya woy, biaya layanan selangit promo sama potongan layanan dibebanin ke driver nya!! gojek dora sampah",1,0,2025-06-12T01:45:55,"Hai Kak Andika, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Melisa
",2025-06-12T08:14:21,
2648ddf4-3929-489b-9c5a-b8e3ca0e8075,Nayla salsabila,bagus mks,5,0,2025-06-12T01:09:41,,,5.17.1
efccadfb-97d3-4e07-936d-d3f95c109270,nunu nurcahyani,"bagus , membantu dan murah hrg menu makanan nya dan bnyk diskon",5,0,2025-06-12T01:01:19,,,
42ef0991-3436-4127-af8f-02b2d873fca3,Regina Syifana (Egii),"KESEL BGT SAMA WAKTU TUNGGU GOFOOD, MASA CUST MINIMAL HRS NUNGGU 2 JAM DULU BUAT BISA CANCEL ORDERAN GF? ini restonya bermasalah, hampir 2 jam orderan saya blm diproses, ngehubungin bantuan malah dijawabnya sama robot, minta dibatalin malah gabisa katanya orderan udh dikonfirmasi resto, RESTONYA BERMASALAH LOH INI? Minimal hargain lah waktu tunggu customer, atau adain live chat! ini nyari live chat juga ga nemu. TOLONG LAH ADAIN LIVE CHAT, CUSTOMER JANGAN DIKASIH NGOBROL SM ROBOT DOANG!!!!",1,0,2025-06-12T00:18:04,"Hai Kak Regina, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Melisa",2025-06-12T07:31:31,5.19.2
c892dadc-103b-424b-94df-d92155e27b69,Syahrul Tazzuna Wijaya,sangat sangat membantu sekali,5,0,2025-06-11T23:51:37,,,5.20.1
9549728f-9035-4abc-9c51-4c397a358fd4,Maisyarah Puteri,"kalo mesan gofood selalu lama dapat drivernya, smpai2 makan2 yg jadi diresto dingin, pdhal driver bnyak yg ngetime gak dpt orderan",3,0,2025-06-11T23:28:03,"Mohon maaf atas kendalanya, Kak Maisyarah. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk atau tidak ada driver di dekat titik jemput. Mohon menunggu beberapa saat, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan di aplikasi Gojek-mu. ^Melisa
",2025-06-12T07:27:45,5.20.1
72b1afa9-8f2b-44ff-a625-4c0d152ddb0b,Kirann ran,"pelayanannya emang oke harga juga oke tapi minimal kalau kami ada yang ga sengaja pake alamat yang salah/tujuan bisa diganti dong pas udh terlanjur kepesen, kalau gini kan repot kasian driver nya harus gini gini gini, sama juga saya padahal udh ganti alamat saya loh tapi kok ttp aja gitu si kesel banget deh",2,9,2025-06-11T23:23:43,"Hai Kak Kiran, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Melisa",2025-06-12T07:24:55,5.20.1
